unique_ID,short_cite,expt_num,expt_condition,is_correct,is_mp,long_cite,peer_reviewed,publication_status,coder,response_mode,exposure_phase,method,dependent_measure,participant_design,same_infant,native_lang,test_lang,infant_type,group_name_1,group_name_2,n_1,n_2,n_excluded_1,n_excluded_2,n_fussi_1,gender_1,gender_2,mean_age_1,mean_age_months,min_age_1,max_age_1,mean_age_2,age_range_1,age_range_2,row label,x_1_label,x_2_label,x_2_misptype,x_1,x_2,SD_1,SD_2,SE_1,SE_2,x_type,chance,x_from_graph,t,t_interact,F,d,d_var,corr,num_trials,percent_MP,vocab_with_X,mean_comprehension,r_comprehension,mean_production,r_production,words,word_correct_and_MP,n_feature,type_feature,mispron_location,within_sentence,sentence_context,object_pair,distractor_overlap,offset,within_measure,pre_nam_dur,post_nam_dur,trial_length,visual_stim,visual_stim_background
1,Zesiger et al. (2012),1,correct,1,0,"Zesiger, P., Lozeron, E. D., Levy, A., & Frauenfelder, U. H. (2012). Phonological Specificity in 12‐and 17‐Month‐Old French‐Speaking Infants. Infancy, 17(6), 591-609.",yes,paper,Bergmann,eye-tracking,testOnly,looking_while_listening,ptl,within_one,12mos,Swiss French,native,typical,,,23,,6,,,0.391304348,,377.28,12.39421813,355.84,420.72,,64.88,,correct,correct,,,8.737,0,2.677,,,,percent_change_pre_post,0,yes,2.94,,,,,,18,0.666666667,overall_misp_effect,NA,0.061,NA,-0.009,"chat, pain, livre, ballon, voiture, chaussure",yes,0,consonant,onset,no,Look! X! (no article),familiar_familiar,no,367,pre_post_naming_effect,3,3,7,photo,lightblue
1,Zesiger et al. (2012),1,1off,0,1,"Zesiger, P., Lozeron, E. D., Levy, A., & Frauenfelder, U. H. (2012). Phonological Specificity in 12‐and 17‐Month‐Old French‐Speaking Infants. Infancy, 17(6), 591-609.",yes,paper,Bergmann,eye-tracking,testOnly,looking_while_listening,ptl,within_one,12mos,Swiss French,native,typical,,,23,,6,,,0.391304348,,377.28,12.39421813,355.84,420.72,,64.88,,consonant_misp,misp,,,-0.5,0,2.93,,,,percent_change_pre_post,0,yes,-0.78,,,,,,18,0.666666667,,NA,NA,NA,NA,"chat, pain, livre, ballon, voiture, chaussure",yes,1,consonant,onset,no,Look! X! (no article),familiar_familiar,no,367,pre_post_naming_effect,3,3,7,photo,lightblue
1,Zesiger et al. (2012),1,2off,0,1,"Zesiger, P., Lozeron, E. D., Levy, A., & Frauenfelder, U. H. (2012). Phonological Specificity in 12‐and 17‐Month‐Old French‐Speaking Infants. Infancy, 17(6), 591-609.",yes,paper,Bergmann,eye-tracking,testOnly,looking_while_listening,ptl,within_one,12mos,Swiss French,native,typical,,,23,,6,,,0.391304348,,377.28,12.39421813,355.84,420.72,,64.88,,consonant_misp,misp,,,-2.575,0,3.132,,,,percent_change_pre_post,0,yes,-0.98,,,,,,18,0.666666667,,NA,NA,NA,NA,"chat, pain, livre, ballon, voiture, chaussure",yes,2,consonant,onset,no,Look! X! (no article),familiar_familiar,no,367,pre_post_naming_effect,3,3,7,photo,lightblue
1,Zesiger et al. (2012),1,correct,1,0,"Zesiger, P., Lozeron, E. D., Levy, A., & Frauenfelder, U. H. (2012). Phonological Specificity in 12‐and 17‐Month‐Old French‐Speaking Infants. Infancy, 17(6), 591-609.",yes,paper,Bergmann,eye-tracking,testOnly,looking_while_listening,ptl,within_one,17mos,Swiss French,native,typical,,,23,,6,,,0.47826087,,593.48,19.49671485,509.04,539.48,,30.42,,correct,correct,,,10.959,0,3.434,,,,percent_change_pre_post,0,yes,2.77,,,,,,18,0.666666667,overall_misp_effect,NA,-0.159,NA,-0.172,"chat, pain, livre, ballon, voiture, chaussure",yes,0,consonant,onset,no,Look! X! (no article),familiar_familiar,no,367,pre_post_naming_effect,3,3,7,photo,lightblue
1,Zesiger et al. (2012),1,1off,0,1,"Zesiger, P., Lozeron, E. D., Levy, A., & Frauenfelder, U. H. (2012). Phonological Specificity in 12‐and 17‐Month‐Old French‐Speaking Infants. Infancy, 17(6), 591-609.",yes,paper,Bergmann,eye-tracking,testOnly,looking_while_listening,ptl,within_one,17mos,Swiss French,native,typical,,,23,,6,,,0.47826087,,593.48,19.49671485,509.04,539.48,,30.42,,consonant_misp,misp,,,3.131,0,4.495,,,,percent_change_pre_post,0,yes,0.81,,,,,,18,0.666666667,,NA,NA,NA,NA,"chat, pain, livre, ballon, voiture, chaussure",yes,1,consonant,onset,no,Look! X! (no article),familiar_familiar,no,367,pre_post_naming_effect,3,3,7,photo,lightblue
1,Zesiger et al. (2012),1,2off,0,1,"Zesiger, P., Lozeron, E. D., Levy, A., & Frauenfelder, U. H. (2012). Phonological Specificity in 12‐and 17‐Month‐Old French‐Speaking Infants. Infancy, 17(6), 591-609.",yes,paper,Bergmann,eye-tracking,testOnly,looking_while_listening,ptl,within_one,17mos,Swiss French,native,typical,,,23,,6,,,0.47826087,,593.48,19.49671485,509.04,539.48,,30.42,,consonant_misp,misp,,,6.464,0,4.041,,,,percent_change_pre_post,0,yes,1.94,,,,,,18,0.666666667,,NA,NA,NA,NA,"chat, pain, livre, ballon, voiture, chaussure",yes,2,consonant,onset,no,Look! X! (no article),familiar_familiar,no,367,pre_post_naming_effect,3,3,7,photo,lightblue
2,White & Morgan (2008),1,correct,1,0,"White, K. S., & Morgan, J. L. (2008). Sub-segmental detail in early lexical representations. Journal of Memory and Language, 59(1), 114-132.",yes,paper,Bergmann,eye-tracking,testOnly,looking_while_listening,ptl,within_one,1_19mos,American English,native,typical,,,28,,13,,6,0.607142857,,575,18.88961892,,,,,,correct,correct,,,0.18,0,0.134987312,,,,proportion_change_pre_post,0,no,7.02,,,,,,18,0.5,,NA,NA,NA,NA,"keys, book, bear, cookie, foot, car, ball, bird, bottle, shoe, cup, hand, balloon, bunny, banana, flower, telephone, chair",no,0,consonant,onset,yes,Were's the X?,familiar_novel,novel,0,pre_post_naming_effect,4,3,13,color_drawing,white
2,White & Morgan (2008),1,1off,0,1,"White, K. S., & Morgan, J. L. (2008). Sub-segmental detail in early lexical representations. Journal of Memory and Language, 59(1), 114-132.",yes,paper,Bergmann,eye-tracking,testOnly,looking_while_listening,ptl,within_one,1_19mos,American English,native,typical,,,28,,13,,6,0.607142857,,575,18.88961892,,,,,,consonant_misp,misp,,,0.08,0,0.175483505,,,,proportion_change_pre_post,0,no,2.52,2.64,,,,,18,0.5,,NA,NA,NA,NA,"keys, book, bear, cookie, foot, car, ball, bird, bottle, shoe, cup, hand, balloon, bunny, banana, flower, telephone, chair",no,1,consonant,onset,yes,Were's the X?,familiar_novel,novel,0,pre_post_naming_effect,4,3,13,color_drawing,white
2,White & Morgan (2008),1,2off,0,1,"White, K. S., & Morgan, J. L. (2008). Sub-segmental detail in early lexical representations. Journal of Memory and Language, 59(1), 114-132.",yes,paper,Bergmann,eye-tracking,testOnly,looking_while_listening,ptl,within_one,1_19mos,American English,native,typical,,,28,,13,,6,0.607142857,,575,18.88961892,,,,,,consonant_misp,misp,,,0.04,0,0.202480968,,,,proportion_change_pre_post,0,no,1.06,3.12,,,,,18,0.5,,NA,NA,NA,NA,"keys, book, bear, cookie, foot, car, ball, bird, bottle, shoe, cup, hand, balloon, bunny, banana, flower, telephone, chair",no,2,consonant,onset,yes,Were's the X?,familiar_novel,novel,0,pre_post_naming_effect,4,3,13,color_drawing,white
2,White & Morgan (2008),1,3off,0,1,"White, K. S., & Morgan, J. L. (2008). Sub-segmental detail in early lexical representations. Journal of Memory and Language, 59(1), 114-132.",yes,paper,Bergmann,eye-tracking,testOnly,looking_while_listening,ptl,within_one,1_19mos,American English,native,typical,,,28,,13,,6,0.607142857,,575,18.88961892,,,,,,consonant_misp,misp,,,-0.04,0,0.188982237,,,,proportion_change_pre_post,0,no,-1.17,4.27,,,,,18,0.5,,NA,NA,NA,NA,"keys, book, bear, cookie, foot, car, ball, bird, bottle, shoe, cup, hand, balloon, bunny, banana, flower, telephone, chair",no,3,consonant,onset,yes,Were's the X?,familiar_novel,novel,0,pre_post_naming_effect,4,3,13,color_drawing,white
