short_cite,vocab,year,relationship
Zesiger et al. (2012),yes,2012,no_relationship
Swingley & Aslin (2000),yes,2000,no_relationship
Swingley & Aslin (2002),yes,2002,no_relationship
Ramon-Casas et al. 2009,yes,2009,no_relationship
Bailey & Plunkett (2002),yes,2002,no_relationship
Swingley (2016),yes,2016,positive
Tao et al. 2012  ,yes,2012,positive
"Mani, Coleman, & Plunkett (2008)",yes,2008,no_relationship
Mani & Plunkett 2007,yes,2007,no_relationship
Swingley 2003,yes,2003,no_relationship
H\xbfjen et al.,yes,2017,no_relationship
Swingley (2009),yes,2009,no_relationship
Mani & Plunkett 2010,yes,2010,positive
White & Morgan (2008),no,2008,no_vocab
Mani & Plunkett 2010,no,2010,no_vocab
Swingley 2003,no,2003,no_vocab
Altvater-Mackensen et al. (2014),no,2014,no_vocab
H\x9ahle et al. 2006,no,2006,no_vocab
Tao & Qinmei 2013,no,2013,no_vocab
"Ren & Morgan, under review",no,2018,no_vocab
Altvater-Mackensen (2010),no,2010,no_vocab
Bergelson & Swingley (2017),no,2017,no_vocab
Durrant et al. (2014),no,2014,no_vocab
"van der Feest & Johnson, 2016",no,2016,no_vocab
Bernier & White 2017,no,2017,no_vocab
Skoruppa et al. 2013,no,2013,no_vocab
"van der Feest & Fikkert, 2015",no,2015,no_vocab
White & Aslin (2011),no,2011,no_vocab
Delle Luche et al. (2015),no,2015,no_vocab
Tamasi (2016),no,2016,no_vocab
Wewalaarachchi et al. 2017,no,2017,no_vocab
Zesiger & J\x9ahr 2011,no,2011,no_vocab
