"Entered statistic"	"p-value"	"ppr"	"ppr half"	"pp33%"	"pp33 half"	"Z-R"	"Z-R half"	"Z-33"	"z-33 half"
"t(22)=2.94"	0.00757545635471968	0.151509127094394	0.303018254188787	0.6537478946126	0.83397261240799	-1.02998242851778	-0.515739291358755	0.395458950317687	0.969983382682216
"t(22)=2.77"	0.0111699320254219	0.223398640508439	0.446797281016877	0.561795631918783	0.789881634416253	-0.760765271220055	-0.13375721315548	0.155523364077961	0.80601061043407
"t(27)=7.02"	0.000000151380378121679	0.00000302760756243359	0.00000605521512486717	0.999909311004105	0.999956732857367	-4.52445214572052	-4.37559028397336	3.74363373652683	3.9255430669342
"t(35)=9.5"	0.0000000000318863824233517	0.000000000637727648467035	0.00000000127545529693407	0.999999929050134	0.999999966320568	-6.07045855620819	-5.95816169628882	5.26277170965384	5.39807725306492
"t(29)=4.04"	0.000358848392677524	0.00717696785355049	0.014353935707101	0.952926379391569	0.977575660686612	-2.4482817622991	-2.18747492999597	1.67391532842485	2.00607095106717
"t(58)=-2.14"	0.036572804844607	0.73145609689214	NA	0.141879731722869	NA	0.617222758770542	NA	-1.0719122144972	NA
"t(59)=7.8919"	0.0000000000833708657665966	0.00000000166741731533193	0.00000000333483463066386	0.999999678176816	0.999999848282789	-5.91420444389924	-5.79903731228418	4.97763876163859	5.12130126324112
"t(35)=8.3022"	0.000000000868308425161501	0.00000001736616850323	0.0000000347323370064601	0.999998662579131	0.999999365135156	-5.51573597012882	-5.39255022609962	4.69432829397268	4.84443422937402
"t(55)=16.5"	0.00000000000000022	0.0000000000000044	0.0000000000000088	0.999999998124873	0.999999999115363	-7.75549434454971	-7.66704794772281	5.89484843232457	6.01768645150693
"t(27)=0.739"	0.466283357956743	NA	NA	NA	NA	NA	NA	NA	NA
"t(27)=2.157"	0.0400703543689742	0.801407087379484	NA	0.10509131988198	NA	0.84665791050203	NA	-1.25306338553454	NA
"t(29)=2.652"	0.0128367693065197	0.256735386130393	0.513470772260787	0.517059176630261	0.769942724788195	-0.653442926764647	0.033772637659808	0.0427740542799863	0.738658238670351
"t(30)=2.204"	0.0353380913414497	0.706761826828994	NA	0.160163232681911	NA	0.543949322975935	NA	-0.993787228079809	NA
"t(28)=1.023"	0.315065561395134	NA	NA	NA	NA	NA	NA	NA	NA
"t(54)=4.047"	0.00016650967528431	0.0033301935056862	0.00666038701137239	0.968470409374281	0.985122173616415	-2.71336415444508	-2.47507623002427	1.85877398612265	2.17332782427063
"t(25)=5.52621884"	0.00000961418062295216	0.000192283612459043	0.000384567224918086	0.997232201351471	0.998677163446305	-3.55045407537704	-3.36367001927636	2.77409228357639	3.00616279708258
"t(23)=5.237611241"	0.000025923141700912	0.000518462834018241	0.00103692566803648	0.99416210164526	0.997204041626345	-3.28031140051076	-3.07944719016408	2.52179428412405	2.77079763822176
"t(31)=3.4"	0.00187121125118206	0.0374242250236412	0.0748484500472824	0.852076894454716	0.929627607649579	-1.78139190315062	-1.44060290205313	1.04538252260471	1.47302318317649
"t(31)=3.36"	0.00208043555673298	0.0416087111346597	0.0832174222693194	0.841470847699091	0.924581926105628	-1.7323153957202	-1.38375056560728	1.0005212800288	1.43658429823521
"t(31)=4.2"	0.000208901449009979	0.00417802898019959	0.00835605796039918	0.96748077070061	0.984529421859052	-2.63733372534378	-2.3929807930734	1.84499367568294	2.15782865283741
"t(31)=2.6"	0.014153039754573	0.283060795091461	0.566121590182922	0.487924744006111	0.756387207428439	-0.573772751284172	0.166508468078313	-0.0302728013424265	0.69472830648848
"t(15)=4.3"	0.000631804004774805	0.0126360800954961	0.0252721601909922	0.942823752458229	0.972233382693334	-2.23721700934279	-1.95532840668996	1.57892833854608	1.9146807138644
"t(15)=2.3"	0.0362242973826515	0.724485947653031	NA	0.156566486097313	NA	0.596220242086434	NA	-1.00866989942767	NA
"t(15)=4.3"	0.000631804004774805	0.0126360800954961	0.0252721601909922	0.942823752458229	0.972233382693334	-2.23721700934279	-1.95532840668996	1.57892833854608	1.9146807138644
"t(15)=2.3"	0.0362242973826515	0.724485947653031	NA	0.156566486097313	NA	0.596220242086434	NA	-1.00866989942767	NA
"t(25)=9.39"	0.00000000112430675880404	0.0000000224861351760808	0.0000000449722703521616	0.99999896505972	0.999999505362561	-5.47012325901654	-5.3459489855778	4.74647914425847	4.89375996479118
"t(25)=8.54"	0.0000000069981792583107	0.000000139963585166214	0.000000279927170332428	0.999994540390101	0.999997390644168	-5.13648332865438	-5.00457492306216	4.39812080745317	4.55579781456287
"t(25)=11.3"	0.0000000000257616150634021	0.000000000515232301268043	0.00000000103046460253609	0.999999968698773	0.99999998503995	-6.10461858448449	-5.99293051945856	5.41120386285626	5.54190360569683
"t(26)=3.16"	0.00397751245824196	0.0795502491648392	0.159100498329678	0.764657999552358	0.887624343088834	-1.4081032516885	-0.998161614345179	0.721366583225494	1.21399059968696
"t(26)=4.68"	0.000078224265813942	0.00156448531627884	0.00312897063255768	0.985277439756399	0.992969986761216	-2.95477508983857	-2.73395070408442	2.17747533059227	2.45572612563588
"t(25)=2.15"	0.0414213580866944	0.828427161733889	NA	0.0902695004781493	NA	0.947968134719182	NA	-1.33909729507985	NA
"t(34)=3.37"	0.00188396398581769	0.0376792797163539	0.0753585594327078	0.849552503835831	0.928547851936254	-1.77827585773909	-1.43700307831503	1.0345160181805	1.4650609255822
"t(30)=2.71"	0.0110158389473951	0.220316778947902	0.440633557895804	0.557181774524223	0.78920028816134	-0.771123794769126	-0.14936311420597	0.143827798647474	0.803649505563953
"t(39)=4.59"	0.0000452362891780744	0.000904725783561489	0.00180945156712298	0.988608459578257	0.994601924330216	-3.1198467427182	-2.90960110553918	2.2770526653936	2.54922857665148
"t(20)=0.47"	0.643439388507798	NA	NA	NA	NA	NA	NA	NA	NA
"t(35)=9.1327"	0.000000000086144869015925	0.0000000017228973803185	0.000000003445794760637	0.999999828895322	0.999999918777741	-5.90881400918921	-5.79354527618502	5.09858085500082	5.23786533451854
"t(23)=5.6349"	0.00000979699242975585	0.000195939848595117	0.000391879697190234	0.997343359137626	0.998727648750699	-3.5454927974091	-3.35846749132692	2.78740020021523	3.01797457910585
"t(23)=8.85"	0.00000000727022508861808	0.000000145404501772362	0.000000290809003544723	0.999994985194685	0.999997598247509	-5.12930813014056	-4.99722298615808	4.41653405348961	4.57319160331922
"t(23)=4.7"	0.0000983176818738496	0.00196635363747699	0.00393270727495398	0.983391100252399	0.992045460625604	-2.88350954576496	-2.65779317764426	2.12944090164881	2.41099472010688
