"Entered statistic"	"p-value"	"ppr"	"ppr half"	"pp33%"	"pp33 half"	"Z-R"	"Z-R half"	"Z-33"	"z-33 half"
"t(22)=-0.78"	0.44370221480853	NA	NA	NA	NA	NA	NA	NA	NA
"t(22)=-0.98"	0.337740906617331	NA	NA	NA	NA	NA	NA	NA	NA
"t(22)=0.81"	0.426615269978242	NA	NA	NA	NA	NA	NA	NA	NA
"t(22)=1.94"	0.0653056610266183	NA	NA	NA	NA	NA	NA	NA	NA
"t(27)=2.52"	0.017955107750949	0.35910215501898	0.71820431003796	0.417536748596205	0.722110490602488	-0.360859728339867	0.577515338651477	-0.208199118055105	0.589122622420428
"t(27)=1.06"	0.298535404055301	NA	NA	NA	NA	NA	NA	NA	NA
"t(27)=-1.17"	0.252225425824617	NA	NA	NA	NA	NA	NA	NA	NA
"t(35)=1.73"	0.0924408968175148	NA	NA	NA	NA	NA	NA	NA	NA
"t(35)=1.88"	0.0684523538466488	NA	NA	NA	NA	NA	NA	NA	NA
"t(35)=2.7"	0.0106089956692793	0.212179913385586	0.424359826771172	0.563466087627686	0.79278023788048	-0.798880293387767	-0.190752310094327	0.159762932231064	0.816105979619473
"t(29)=0.31"	0.758777776824241	NA	NA	NA	NA	NA	NA	NA	NA
"t(29)=-0.34"	0.736306935783779	NA	NA	NA	NA	NA	NA	NA	NA
"t(29)=-0.35"	0.728867966025706	NA	NA	NA	NA	NA	NA	NA	NA
"t(58)=1.603"	0.114367207904666	NA	NA	NA	NA	NA	NA	NA	NA
"t(58)=0.393"	0.695760270984858	NA	NA	NA	NA	NA	NA	NA	NA
"t(58)=-2.05"	0.0448942850757627	0.897885701515253	NA	0.050701710407944	NA	1.26959593827738	NA	-1.63808760235145	NA
"t(59)=1.6018"	0.11454096905627	NA	NA	NA	NA	NA	NA	NA	NA
"t(35)=5.7195"	0.00000180903892332829	0.0000361807784665658	0.0000723615569331315	0.999108494375748	0.999576808174234	-3.96838435891787	-3.79995371823237	3.12418036440163	3.33716276797327
"t(55)=9"	0.00000000000211319850507152	0.0000000000422639701014305	0.0000000000845279402028609	0.999999986326393	0.99999999354914	-6.49231383514242	-6.38710471535894	5.5576237196837	5.68736144657428
"t(27)=0.549"	0.587517417953654	NA	NA	NA	NA	NA	NA	NA	NA
"t(27)=0.674"	0.506041150626733	NA	NA	NA	NA	NA	NA	NA	NA
"t(29)=0.938"	0.355991392650149	NA	NA	NA	NA	NA	NA	NA	NA
"t(30)=0.952"	0.348704666724585	NA	NA	NA	NA	NA	NA	NA	NA
"t(28)=2.321"	0.0277894999568851	0.555789999137701	NA	0.260051609306471	NA	0.14030374979435	NA	-0.643186304900841	NA
"t(28)=0.628"	0.535092937200207	NA	NA	NA	NA	NA	NA	NA	NA
"t(54)=0.658"	0.513333601004841	NA	NA	NA	NA	NA	NA	NA	NA
"t(54)=0.395"	0.694398876662992	NA	NA	NA	NA	NA	NA	NA	NA
"t(25)=1.77"	0.0889238840691297	NA	NA	NA	NA	NA	NA	NA	NA
"t(23)=2.347217587"	0.0278912710665955	0.55782542133191	NA	0.261424598777044	NA	0.14545814796634	NA	-0.63895962537466	NA
"t(31)=2.31"	0.02771275034955	0.554255006991	NA	0.259874766449442	NA	0.136419086329562	NA	-0.6437315414623	NA
"t(31)=-0.85"	0.401842411981614	NA	NA	NA	NA	NA	NA	NA	NA
"t(31)=0.42"	0.677382305397966	NA	NA	NA	NA	NA	NA	NA	NA
"t(31)=0.4"	0.691899545646633	NA	NA	NA	NA	NA	NA	NA	NA
"t(15)=1.37"	0.190845593881698	NA	NA	NA	NA	NA	NA	NA	NA
"t(15)=-0.21"	0.836493428017252	NA	NA	NA	NA	NA	NA	NA	NA
"t(15)=-0.4"	0.69479493577647	NA	NA	NA	NA	NA	NA	NA	NA
"t(15)=-0.3"	0.768294534535552	NA	NA	NA	NA	NA	NA	NA	NA
"t(25)=3.83"	0.000765673896647057	0.0153134779329411	0.0306269558658823	0.922527240330917	0.962972812903007	-2.16188611041071	-1.87165815840493	1.42227815019805	1.78627727701593
"t(25)=3.08"	0.004978237591442	0.0995647518288401	0.19912950365768	0.729960974200406	0.870938048747971	-1.28403558785404	-0.84473465248232	0.612694966165134	1.13083652761473
"t(25)=3.25"	0.00328654438089115	0.0657308876178231	0.131461775235646	0.792800194057114	0.900971308962296	-1.50836249967889	-1.1195078344696	0.816175771675924	1.28710589201672
"t(25)=4.85"	0.0000549611074165401	0.0010992221483308	0.00219844429666161	0.988973048166329	0.994729799088107	-3.06202589961809	-2.84818840764383	2.28943821899609	2.55757766456647
"t(25)=2.6"	0.0154252896429816	0.308505792859632	0.617011585719265	0.467098557315474	0.74530607265289	-0.500090172418696	0.297641458484978	-0.0825653993383826	0.659791163548732
"t(25)=5"	0.0000372710748144378	0.000745421496288756	0.00149084299257751	0.99185091082609	0.996105239431236	-3.17646009377203	-2.96961972485973	2.40216896683049	2.66105941076063
"t(26)=-0.35"	0.729158136167269	NA	NA	NA	NA	NA	NA	NA	NA
"t(26)=2.31"	0.0290852983814449	0.581705967628898	NA	0.242881219980292	NA	0.206259689310735	NA	-0.697064483223946	NA
"t(26)=1.35"	0.188652468114647	NA	NA	NA	NA	NA	NA	NA	NA
"t(26)=-0.7"	0.490143849265853	NA	NA	NA	NA	NA	NA	NA	NA
"t(26)=-0.17"	0.866326026880736	NA	NA	NA	NA	NA	NA	NA	NA
"t(26)=-0.16"	0.874117639649599	NA	NA	NA	NA	NA	NA	NA	NA
"t(26)=-0.43"	0.670738707748875	NA	NA	NA	NA	NA	NA	NA	NA
"t(26)=0.67"	0.508765235770523	NA	NA	NA	NA	NA	NA	NA	NA
"t(25)=-0.32"	0.75162743708034	NA	NA	NA	NA	NA	NA	NA	NA
"t(25)=0.36"	0.721870651382283	NA	NA	NA	NA	NA	NA	NA	NA
"t(25)=-0.69"	0.49655016890852	NA	NA	NA	NA	NA	NA	NA	NA
"t(25)=-0.66"	0.515288995974953	NA	NA	NA	NA	NA	NA	NA	NA
"t(34)=-0.03"	0.976242464939823	NA	NA	NA	NA	NA	NA	NA	NA
"t(34)=-0.93"	0.358927511845773	NA	NA	NA	NA	NA	NA	NA	NA
"t(34)=-0.24"	0.811771379917297	NA	NA	NA	NA	NA	NA	NA	NA
"t(30)=2.25"	0.0319393548606746	0.638787097213491	NA	0.202997474871145	NA	0.355218634478484	NA	-0.830962260027582	NA
"t(30)=-0.91"	0.370076244135773	NA	NA	NA	NA	NA	NA	NA	NA
"t(30)=-0.7"	0.489320443499672	NA	NA	NA	NA	NA	NA	NA	NA
"t(39)=0.17"	0.865888947932694	NA	NA	NA	NA	NA	NA	NA	NA
"t(20)=2.44"	0.0241230712961495	0.482461425922991	0.964922851845982	0.320294270140887	0.673194486809264	-0.0439768565092297	1.81091315250365	-0.466876079444717	0.448751365162777
"t(35)=3.9203"	0.000392908573577655	0.0078581714715531	0.0157163429431062	0.947478449059399	0.975068367007471	-2.41543695594431	-2.15155162208822	1.62088128220012	1.96113509299774
"t(35)=2.8571"	0.00714945221231655	0.142989044246331	0.285978088492662	0.653588068152184	0.835560546206443	-1.06698615369968	-0.565172886072639	0.395025778088335	0.976374511638117
"t(23)=1.6883"	0.104868606431747	NA	NA	NA	NA	NA	NA	NA	NA
"t(23)=1.4412"	0.163005340472364	NA	NA	NA	NA	NA	NA	NA	NA
"t(23)=4.77"	0.0000825917657716335	0.00165183531543267	0.00330367063086534	0.985478766401852	0.993045311478988	-2.93797180874979	-2.71601255365027	2.18290961001307	2.45959528210355
"t(23)=6"	0.00000405686621385293	0.0000811373242770586	0.000162274648554117	0.998718090835371	0.999386052232273	-3.77149155851495	-3.59487344918429	3.01570586404346	3.23231979891889
"t(23)=3.71"	0.00115258101237004	0.0230516202474007	0.0461032404948014	0.898941465564684	0.951599798692228	-1.9944468721394	-1.6838716258776	1.27554312894623	1.66056719228192
"t(23)=0.61"	0.547841926052145	NA	NA	NA	NA	NA	NA	NA	NA
"t(23)=3.21"	0.00388469925646961	0.0776939851293923	0.155387970258785	0.771731615786284	0.890674886491499	-1.42075509202202	-1.01359521781149	0.744561634261634	1.23012519384521
"t(23)=3.6"	0.0015100481918473	0.030200963836946	0.0604019276738921	0.878261291686116	0.941695394433891	-1.87784824862119	-1.55140835040349	1.16633898588667	1.56916622829484
"t(23)=2.12"	0.0450090926818624	0.900181853637247	NA	0.0514430486489112	NA	1.28258846727507	NA	-1.63102001030508	NA
"t(15)=0.97"	0.347428566567239	NA	NA	NA	NA	NA	NA	NA	NA
"t(15)=-0.97"	0.347428566567239	NA	NA	NA	NA	NA	NA	NA	NA
"t(15)=-1.75"	0.100540179430096	NA	NA	NA	NA	NA	NA	NA	NA
"t(15)=1.75"	0.100540179430096	NA	NA	NA	NA	NA	NA	NA	NA
"t(6)=1.39"	0.213905138235552	NA	NA	NA	NA	NA	NA	NA	NA
"t(7)=0.11"	0.915496584913297	NA	NA	NA	NA	NA	NA	NA	NA
"t(11)=0.25"	0.807194816552929	NA	NA	NA	NA	NA	NA	NA	NA
"t(11)=-0.79"	0.446224052601673	NA	NA	NA	NA	NA	NA	NA	NA
"t(7)=-0.41"	0.694063183199281	NA	NA	NA	NA	NA	NA	NA	NA
"t(30)=1.71"	0.0975910546137194	NA	NA	NA	NA	NA	NA	NA	NA
"t(30)=1.71"	0.0975910546137194	NA	NA	NA	NA	NA	NA	NA	NA
"t(47)=1.31"	0.196562654333785	NA	NA	NA	NA	NA	NA	NA	NA
"t(47)=2.12"	0.0393144797848921	0.786289595697842	NA	0.11117452225499	NA	0.793612919999074	NA	-1.22030560845149	NA
"t(47)=5.04"	0.00000734705740224051	0.00014694114804481	0.00029388229608962	0.996893811340515	0.998531888518673	-3.62063373653976	-3.43719854110165	2.73635602474104	2.97433711627384
"t(47)=0.69"	0.493587372190619	NA	NA	NA	NA	NA	NA	NA	NA
"t(47)=-1.3"	0.199940482914065	NA	NA	NA	NA	NA	NA	NA	NA
"t(47)=2.1"	0.0411231387494717	0.822462774989434	NA	0.0911112239916291	NA	0.92479135174415	NA	-1.33394327395511	NA
"t(47)=2"	0.0512977280297058	NA	NA	NA	NA	NA	NA	NA	NA
"t(47)=2.35"	0.0230241016480988	0.460482032961975	0.92096406592395	0.324641375269182	0.680797961851672	-0.0992194075123591	1.41158609794549	-0.454758831938123	0.469931334739596
"t(35)=2.57"	0.0145853096803372	0.291706193606744	0.583412387213489	0.476835510827752	0.751657275819634	-0.548407122087812	0.210630993430698	-0.0580974298050209	0.679714191529907
"t(35)=2.33"	0.0256986975429858	0.513973950859716	NA	0.287450670670356	NA	0.0350346661012572	NA	-0.560847736106426	NA
"t(35)=2.54"	0.0156795473256787	0.313590946513573	0.627181893027147	0.455253612705295	0.74141249146664	-0.485697166354606	0.324398686631568	-0.112398776477753	0.647706163444338
"t(35)=5.09"	0.0000122214598221593	0.000244429196443186	0.000488858392886371	0.995958693153777	0.998081618358639	-3.48678817350872	-3.29686156701682	2.64859914745378	2.89127982622652
"t(35)=1.91"	0.0643553222814701	NA	NA	NA	NA	NA	NA	NA	NA
"t(35)=1.08"	0.287528472509259	NA	NA	NA	NA	NA	NA	NA	NA
"t(17)=1.021044904"	0.321544589414792	NA	NA	NA	NA	NA	NA	NA	NA
"t(17)=2.5906"	0.019046608275059	0.38093216550118	0.76186433100236	0.409554614456838	0.71460656999813	-0.303033501106909	0.712312414792466	-0.228690821794875	0.566893029874578
"t(11)=0.3"	0.769770357889372	NA	NA	NA	NA	NA	NA	NA	NA
"t(11)=1.5"	0.161758017055454	NA	NA	NA	NA	NA	NA	NA	NA
"t(15)=0.481"	0.637457298991594	NA	NA	NA	NA	NA	NA	NA	NA
"t(15)=2.5"	0.0245058032465137	0.490116064930275	0.98023212986055	0.321378651387237	0.6704397351488	-0.0247778862478949	2.05856696323327	-0.463847089902749	0.44112772953066
"t(15)=0.42"	0.680439656568171	NA	NA	NA	NA	NA	NA	NA	NA
"t(15)=-0.8"	0.436197939162689	NA	NA	NA	NA	NA	NA	NA	NA
"t(15)=1.02"	0.323898710761056	NA	NA	NA	NA	NA	NA	NA	NA
"t(15)=0.79"	0.441838402677003	NA	NA	NA	NA	NA	NA	NA	NA
"t(15)=2.19"	0.0447407745326877	0.894815490653753	NA	0.0561187721884832	NA	1.25255137952272	NA	-1.58821582272768	NA
"t(15)=-0.92"	0.372131880307105	NA	NA	NA	NA	NA	NA	NA	NA
"t(15)=0.32"	0.753382314031412	NA	NA	NA	NA	NA	NA	NA	NA
"t(15)=-0.97"	0.347428566567239	NA	NA	NA	NA	NA	NA	NA	NA
